Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Sixteenth Dynasty of Egypt / 古埃及（第十六王朝）,-1649,-1582,Ancient Egyptian / 古埃及,Middle Egyptian / 中古埃及语,Ancient Egyptian Religion / 古埃及宗教,Sekhemre Sementawy Djehuty / 杰胡提,Thebes / 底比斯,Luxor / 卢克索,EGY,North Africa / 北非,67,15,0.8,,C,D,D,D,C,C,D,C,C,,30
Shang / 商,-1600,-1046,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Tang / (子)汤,Yin / 殷,Anyang / 安阳,CHN,East Asia / 东亚,554,1500,7,,S,B,C,C,B,B,B,B,C,,56
Mitanni / 米坦尼,-1600,-1260,Hurrian / 胡里安,Hurrian / 胡里安语,Mesopotamia Polytheism / 美索不达米亚多神教,Kirta / 基尔塔,Waššukanni / 瓦舒坎尼,Khabur River Valley / 哈布尔河谷,SYR,West Asia / 西亚,340,150,0.7,,A,C,D,B,B,B,B,B,C,,54
Kassite Dynasty / 加喜特王朝,-1595,-1155,Kassite / 加喜特,Akkadian / 阿卡德语,Mesopotamia Polytheism / 美索不达米亚多神教,Agum II / 阿贡二世,Babylon / 巴比伦,Hillah / 希拉,IRQ,West Asia / 西亚,440,150,2.5,,A,C,D,B,B,B,C,B,B,,52
Seventeenth Dynasty of Egypt / 古埃及（第十七王朝）,-1580,-1550,Ancient Egyptian / 古埃及,Middle Egyptian / 中古埃及语,Ancient Egyptian Religion / 古埃及宗教,Sekhemre Wahkhau Rahotep / 拉霍特普,Thebes / 底比斯,Luxor / 卢克索,EGY,North Africa / 北非,30,15,0.8,,D,D,D,C,B,C,B,B,C,,43
New Kingdom of Egypt / 古埃及（新王国）,-1570,-1069,Ancient Egyptian / 古埃及,Late Egyptian / 新埃及语,Ancient Egyptian Religion / 古埃及宗教,Ahmose I / 雅赫摩斯一世,Thebes / 底比斯,Luxor / 卢克索,EGY,North Africa / 北非,501,1000,4,,S,B,C,A,A,A,B,A,B,,71
Arzawa / 阿尔萨瓦,-1440,-1300,Luwian / 卢维,Luwian / 卢维语,Anatolian Polytheism / 安纳托利亚多神教,Kupanta-Kurunta / 库潘塔-库伦塔,Apaša / 阿帕沙,Selçuk / 塞尔丘克,TUR,West Asia / 西亚,140,50,0.1,,B,D,D,C,C,C,D,C,D,,33
Matsya / 摩差,-1400,-350,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Virāṭa / 毗罗托,Virāṭanagara / 毗罗城,Viratnagar / 维拉特纳加尔,IND,South Asia / 南亚,1050,25,1.3,,S,D,D,C,C,C,D,C,C,,36
Middle Assyrian Empire / 中亚述帝国,-1363,-912,Assyrian / 亚述,Akkadian / 阿卡德语,Mesopotamia Polytheism / 美索不达米亚多神教,Ashur-uballit I / 亚述乌巴里特一世,Assur / 阿舒尔,Al-Shirqat / 舍尔加特,IRQ,West Asia / 西亚,451,200,3,,A,C,C,B,A,B,B,B,C,,59
Kingdom of Edom / 以东王国,-1250,-553,Edomite / 以东,Edomite / 以东语,Canaanite Polytheism / 迦南多神教,Esau / 以扫,Bozrah / 波斯拉,Busaira / 布塞拉,JOR,West Asia / 西亚,697,15,0.1,,S,D,D,C,C,C,B,C,C,,42
Kingdom of Moab / 摩押王国,-1250,-400,Moabite / 摩押,Moabite / 摩押语,Canaanite Polytheism / 迦南多神教,Moab / 摩押,Dibon / 底本,Dhiban / 迪班,JOR,West Asia / 西亚,850,10,0.1,,S,D,D,C,C,B,C,C,C,,42
Colchis / 科尔喀斯,-1250,131,Colchian / 科尔喀斯,Zan / 赞语,Ancient Georgian Polytheism / 古格鲁吉亚多神教,Aeëtes / 埃厄忒斯,Aea / 阿埃阿,Kutaisi / 库塔伊西,GEO,West Asia / 西亚,1381,30,0.2,,S,D,D,C,C,B,C,C,C,,42
Kingdom of Lydia / 吕底亚王国,-1200,-546,Lydian / 吕底亚,Lydian / 吕底亚语,Anatolian Polytheism / 安纳托利亚多神教,Manes / 马奈斯,Sardis / 萨第斯,Salihli / 萨利赫利,TUR,West Asia / 西亚,654,120,0.4,,S,C,D,B,B,B,B,B,B,,56
Kingdom of Phrygia / 弗里吉亚王国,-1200,-675,Phrygian / 弗里吉亚,Phrygian / 弗里吉亚语,Anatolian Polytheism / 安纳托利亚多神教,Gordias / 戈尔迪亚斯,Gordion / 戈尔迪翁,Yassıhüyük / 亚斯许许克,TUR,West Asia / 西亚,525,150,0.4,,S,C,D,B,C,B,C,C,C,,47
