Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Aghlabid Dynasty / 阿格拉布王朝,800,909,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Ibrahim I ibn al-Aghlab ibn Salim / 易卜拉欣一世,Kairouan / 凯鲁万,Kairouan / 凯鲁万,TUN,North Africa / 北非,109,350,0.8,,B,C,D,B,B,A,C,B,B,,54
County of Barcelona / 巴塞罗那伯国,801,1162,Hispano-Roman / 希斯帕诺-罗马,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Berà / 贝拉,Barcelona / 巴塞罗那,Barcelona / 巴塞罗那,ESP,South Europe / 南欧,361,25,0.3,,A,D,D,B,B,B,C,B,B,,50
Khmer Empire / 高棉帝国,802,1431,Khmer / 高棉,Old Khmer / 古高棉语,Hinduism / 印度教,Jayavarman II / 阇耶跋摩二世,Yasodharapura / 耶输陀罗补罗 (吴哥),Siem Reap / 暹粒,KHM,Southeast Asia / 东南亚,629,1260,2,,S,B,D,A,B,A,B,B,B,,64
Duchy of Croatia / 克罗地亚公国,812,925,Croat / 克罗地亚,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Borna / 博尔纳,Nin / 尼恩,Nin / 尼恩,HRV,South Europe / 南欧,113,70,0.4,,B,D,D,D,C,C,D,C,C,,31
Samanid Empire / 萨曼王朝,819,999,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Ahmad ibn Asad / 艾哈迈德·伊本·阿萨德,Bukhara / 布哈拉,Bukhara / 布哈拉,UZB,West Asia / 西亚,180,2850,6,,B,B,C,A,B,S,B,B,B,,67
Ziyadid Dynasty / 齐亚德王朝,819,1018,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad ibn Ziyad / 穆罕默德·本·齐亚德,Zabid / 宰比德,Zabid / 宰比德,YEM,West Asia / 西亚,199,200,0.3,,B,C,D,C,C,C,C,C,C,,39
Tahirid Dynasty / 塔希尔王朝,821,873,Persian / 波斯,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Tahir ibn Husayn / 塔希尔·伊本·侯赛因,Nishapur / 内沙布尔,Nishapur / 内沙布尔,IRN,West Asia / 西亚,52,900,2.5,,C,C,D,B,B,B,C,B,B,,50
Kingdom of Navarre / 纳瓦拉王国,824,1620,Basque / 巴斯克,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Íñigo Arista / 伊尼戈·阿里斯塔,Pamplona / 潘普洛纳,Pamplona / 潘普洛纳,ESP,South Europe / 南欧,796,10,0.1,,S,D,D,C,C,C,C,B,C,,41
Chandelas of Jejakabhukti / 昌德拉王朝,831,1315,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Nannuka / 南努卡,Khajuraho / 克久拉霍,Khajuraho / 克久拉霍,IND,South Asia / 南亚,484,120,1.3,,A,C,D,C,C,B,B,C,C,,46
Great Moravia / 大摩拉维亚公国,833,907,West Slav / 西斯拉夫,Old Church Slavonic / 古教会斯拉夫语,Catholicism / 基督教（天主教）,Mojmír I / 莫伊米尔一世,Veligrad / 韦利格勒,Mikulčice / 米库尔奇采,CZE,Central Europe / 中欧,74,110,0.6,,C,C,D,C,C,B,D,C,C,,38
Kara-Khanid Khanate / 喀喇汗国,840,1212,Göktürks / 古突厥,Karakhanid / 喀喇汗语,Sunni Islam / 伊斯兰教（逊尼派）,Bilge Kul Qadır Khan / 阙毗伽·卡迪尔汗,Balasagun / 八剌沙衮,Chüy Valley / 楚河溪谷,KGZ,Central Asia / 中亚,372,800,1.5,,A,C,D,B,B,A,C,B,C,,54
Kingdom of Scotland / 苏格兰王国,843,1707,Scot / 苏格兰,Scot / 低地苏格兰语,Catholicism / 基督教（天主教）,Kenneth MacAlpin / 肯尼思一世,Edinburgh / 爱丁堡,Edinburgh / 爱丁堡,GBR,West Europe / 西欧,864,79,1.3,,S,D,D,B,B,B,C,B,C,,50
Qocho / 高昌回鹘,843,1132,Old Uyghur / 回鹘,Old Uyghur / 回鹘语,Mahayana Buddhism / 佛教（大乘佛教）,Pan Tekin / 仆固俊,Gaochang / 高昌,Turpan / 吐鲁番,CHN,East Asia / 东亚,289,150,1,,A,C,D,B,C,B,C,B,B,,49
East Francia / 东法兰克王国,843,962,Frank / 法兰克,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Louis the German / 路德维希二世,Ratisbon / 拉特斯本,Regensburg / 雷根斯堡,DEU,Central Europe / 中欧,119,600,5,,B,C,C,C,C,B,C,C,C,,44
West Francia / 西法兰克王国,843,987,Frank / 法兰克,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Charles the Bald / 秃头查理,Laon / 拉昂,Laon / 拉昂,FRA,West Europe / 西欧,144,600,7,,B,C,C,C,C,B,C,C,C,,44
Hindu Shahis / 印度沙希王朝,843,1026,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Kallar / 卡拉尔,Kabul / 喀布尔,Kabul / 喀布尔,AFG,South Asia / 南亚,183,60,0.6,,B,D,D,C,B,B,C,C,C,,43
Middle Francia / 中法兰克王国,843,855,Frank / 法兰克,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Lothair I / 洛泰尔一世,Aachen / 亚琛,Aachen / 亚琛,GER,West Europe / 西欧,12,350,5,,D,C,C,C,C,B,C,C,C,,42
Chola Empire / 朱罗帝国,848,1279,Tamil / 泰米尔（达罗毗荼）,Middle Tamil / 中古泰米尔语,Hinduism / 印度教,Vijayalaya Chola / 维杰耶拉亚·朱罗,Thanjavur / 坦贾武尔,Thanjavur / 坦贾武尔,IND,South Asia / 南亚,431,500,10,,A,C,B,A,A,A,B,A,B,,70
Pagan Kingdom / 蒲甘王国,849,1297,Bamar / 缅,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Pyinbya / 彬比亚,Pagan / 蒲甘,Bagan / 蒲甘,MMR,Southeast Asia / 东南亚,448,250,1.8,,A,C,D,B,B,A,C,B,B,,55
Kingdom of the Isles / 群岛王国,849,1265,Norse-Gael / 诺斯-盖尔,Old Norse / 古诺斯语,Catholicism / 基督教（天主教）,Gofraid mac Fergusa / 戈夫雷德·马克·费古萨,Tynwald / 廷瓦尔德,Peel / 皮尔,GBR,West Europe / 西欧,416,8,0.02,,A,D,D,C,C,C,C,C,C,,38
Guiyi Prefecture / 归义军,851,1036,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Zhang Yichao / 张议潮,Shazhou / 沙州,Dunhuang / 敦煌,CHN,East Asia / 东亚,185,50,0.4,,B,D,D,B,C,B,C,B,C,,45
Principality of Salerno / 萨莱诺亲王国,851,1077,Lombard / 伦巴第,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Siconulf / 西康努夫,Salerno / 萨莱诺,Salerno / 萨莱诺,ITA,South Europe / 南欧,226,7,0.3,,A,D,D,C,C,B,B,C,B,,45
Kingdom of Dublin / 都柏林王国,853,1170,Norse-Gael / 诺斯-盖尔,Old Norse / 古诺斯语,Catholicism / 基督教（天主教）,Amlaíb Conung / 阿姆莱布·科农格,Dublin / 都柏林,Dublin / 都柏林,IRL,West Europe / 西欧,317,2,0.01,,A,D,D,B,C,C,C,C,C,,41
Utpala Dynasty / 乌特帕拉王朝,855,1003,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Avantivarman / 阿槃底跋摩,Awantipora / 阿瓦恩蒂波拉,Awantipora / 阿瓦恩蒂波拉,IND,South Asia / 南亚,148,40,1.5,,B,D,D,B,B,B,C,B,C,,48
Lotharingia / 洛塔林吉亚,855,959,Frank / 法兰克,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Lothair II / 洛泰尔二世,Aachen / 亚琛,Aachen / 亚琛,GER,West Europe / 西欧,104,160,2.5,,B,C,D,C,C,B,C,C,C,,42
Saffarid Dynasty / 萨法尔王朝,861,1002,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Ya'qub ibn al-Layth al-Saffar / 耶古卜·伊本·莱伊斯,Zaranj / 扎兰季,Zaranj / 扎兰季,AFG,West Asia / 西亚,141,1000,3.5,,B,B,C,B,B,B,C,C,C,,52
Kingdom of Shirvan / 希尔万沙王朝,861,1538,Arab / 阿拉伯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Haytham ibn Khalid / 海塞姆·伊本·哈立德,Shamakhi / 沙马基,Shamakhi / 沙马基,AZE,West Asia / 西亚,677,10,0.1,,S,D,D,B,C,B,C,B,C,,47
Emirate of Multan / 木尔坦酋长国,861,1010,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Banu Munabbih / 巴努·穆纳比赫,Multan / 木尔坦,Multan / 木尔坦,PAK,South Asia / 南亚,149,30,0.3,,B,D,D,B,C,B,C,B,C,,45
Principality of Capua / 卡普阿公国,861,1139,Lombard / 伦巴第,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Atenulf I / 阿泰努尔夫一世,Capua / 卡普阿,Capua / 卡普阿,ITA,South Europe / 南欧,278,5,0.15,,A,D,D,C,C,C,C,C,C,,38
Tulunid Emirate / 图伦王朝,868,905,Turkic / 突厥,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Ahmad ibn Tulun / 艾哈迈德·本·图伦,Al-Qata'i / 卡塔伊,Cairo / 开罗,EGY,North Africa / 北非,37,400,3,,D,C,C,B,B,B,C,B,B,,51
Duchy of Bohemia / 波希米亚公国,870,1198,West Slav / 西斯拉夫,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Bořivoj I / 博日沃伊一世,Prague / 布拉格,Prague / 布拉格,CZE,Central Europe / 中欧,328,52,0.6,,A,D,D,C,C,B,C,B,C,,43
Kingdom of Norway (Medieval) / 挪威王国（中世纪）,872,1397,Norse / 诺斯,Old Norse / 古诺斯语,Catholicism / 基督教（天主教）,Harald Fairhair / 金发哈拉尔,Niðaróss / 尼达罗斯,Trondheim / 特隆赫姆,NOR,North Europe / 北欧,525,550,0.4,,S,C,D,C,B,B,C,B,C,,49
Kievan Rus' / 基辅罗斯,882,1240,Rus' / 罗斯,Old East Slavic / 古东斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Oleg the Wise / 奥列格,Kiev / 基辅,Kyiv / 基辅,UKR,East Europe / 东欧,358,1330,5.4,,A,B,C,B,B,A,C,B,C,,58
Somavamshi Dynasty / 索马瓦姆西王朝,882,1110,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Janmejaya I / 贾那麦贾亚一世,Yayatinagara / 亚亚蒂城,Binika / 比尼卡,IND,South Asia / 南亚,228,35,1.5,,A,D,D,C,B,B,C,C,C,,44
Bagratid Armenia / 亚美尼亚-巴格拉图尼王朝,885,1045,Armenian / 亚美尼亚,Classical Armenian / 古典亚美尼亚语,Oriental Orthodoxy / 基督教（东方正统教会）,Ashot I / 阿硕特一世,Ani / 阿尼,Ocaklı / 奥贾克勒,TUR,West Asia / 西亚,160,300,5,,B,C,C,B,B,A,C,B,B,,56
Kingdom of the Iberians / 陶-克拉尔杰蒂王国,888,1008,Georgian / 格鲁吉亚,Old Georgian / 古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,Adarnase IV of Iberia / 阿达尔纳塞四世,Artanuji / 阿尔达努,Ardanuç / 阿尔达努,TUR,West Asia / 西亚,120,30,0.3,,B,D,D,C,B,B,C,B,C,,45
Sajid Dynasty / 萨吉王朝,889,929,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad ibn Abi'l-Saj / 穆罕默德·伊本·阿比勒-萨吉,Ardabil / 阿尔达比勒,Ardabil / 阿尔达比勒,IRN,West Asia / 西亚,40,300,2,,D,C,D,C,C,C,C,C,C,,37
Hamdanid Dynasty / 哈姆丹王朝,890,1004,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Hamdan ibn Hamdun / 哈姆丹·伊本·哈姆敦,Mosul / 摩苏尔,Mosul / 摩苏尔,IRQ,West Asia / 西亚,114,120,1.2,,B,C,D,C,B,B,C,B,C,,47
Later Baekje / 后百济,892,936,Yemaek / 濊貊,Old Korean / 古朝鲜语,Mahayana Buddhism / 佛教（大乘佛教）,Kyŏn Hwŏn / 甄萱,Wansanju / 完山州,Jeonju / 全州,KOR,East Asia / 东亚,44,25,0.8,,D,D,D,D,C,C,D,C,D,,28
Kingdom of Hereti / 赫雷季王国,893,1020,Georgian / 格鲁吉亚,Old Georgian / 古格鲁吉亚语,Eastern Orthodoxy / 基督教（东正教）,Grigol Hamam / 格里戈尔·哈马姆,Shaki / 舍基,Shaki / 舍基,AZE,West Asia / 西亚,127,10,0.1,,B,D,D,C,C,C,C,C,C,,37
Ganzhou Uyghur Kingdom / 甘州回鹘,894,1036,Old Uyghur / 回鹘,Old Uyghur / 回鹘语,Manichaeism / 摩尼教,Tigin / 狄银,Ganzhou / 甘州,Zhangye / 张掖,CHN,East Asia / 东亚,142,60,0.1,,B,D,D,B,C,B,C,B,C,,45
Grand Principality of Hungary / 匈牙利大公国,895,1000,Magyar / 马扎尔,Old Hungarian / 古匈牙利语,Tengrism / 腾格里教,Árpád / 阿尔帕德大公,Esztergom / 埃斯泰尔戈姆,Esztergom / 埃斯泰尔戈姆,HUN,Central Europe / 中欧,105,330,0.6,,B,C,D,D,B,C,C,C,C,,39
Sultanate of Shewa / 舍瓦苏丹国,896,1286,Harla / 哈尔拉,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Haboba / 哈博巴,Walalah / 瓦拉拉,Harar / 哈勒尔,ETH,East Africa / 东非,390,120,0.4,,A,C,D,C,C,C,C,C,C,,40
Former Jin / 前晋,896,923,Shatuo Turk / 沙陀（突厥）,Middle Chinese / 中古汉语,Confucianism / 儒家,Li Keyong / 李克用,Taiyuan / 太原,Taiyuan / 太原,CHN,East Asia / 东亚,27,120,3,,D,C,C,C,B,D,C,C,C,,39
Qarmatians / 卡尔马特国,899,1077,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Abu Sa'id al‑Jannabi / 阿布·赛义德·阿勒贾纳比,Al-Ahsa /  哈萨,Al-Ahsa /  哈萨,SAU,West Asia / 西亚,178,80,0.2,,B,D,D,B,B,B,C,C,C,,46
Kingdom of Chimor / 奇穆王国,900,1470,Chimú / 奇穆,Mochica / 莫奇卡语,Chimú Polytheism / 奇穆多神教,Taycanamo / 泰卡纳莫,Chan Chan / 昌昌,Trujillo / 特鲁希略,PER,South America / 南美,570,1000,1,,S,B,D,B,B,B,B,B,B,,58
Rawwadid Dynasty / 拉瓦迪王朝,900,1116,Kurdish / 库尔德,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad ibn Husayn al-Rawadi / 穆罕默德·伊本·侯赛因,Tabriz / 大不里士,Tabriz / 大不里士,IRN,West Asia / 西亚,216,250,1.8,,A,C,D,C,C,B,C,C,C,,43
Tondo / 汤都,900,1589,Tagalog / 他加禄,Old Tagalog / 古他加禄语,Tagalog Polytheism / 他加禄多神教,Jayadewa / 贾亚德瓦,Tondo / 汤都,Manila / 马尼拉,PHL,Southeast Asia / 东南亚,689,0.3,0.05,,S,D,D,B,C,C,C,C,C,,42
Pala Dynasty / 帕拉王朝（迦摩缕波）,900,1100,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Brahma Pala / 布拉玛·帕拉,Harruppesvar / 诃噜佩湿伐罗,Tezpur / 提斯浦尔,IND,South Asia / 南亚,200,180,1.5,,A,C,D,C,C,C,C,C,C,,40
T'aebong / 后高句丽,901,918,Yemaek / 濊貊,Old Korean / 古朝鲜语,Mahayana Buddhism / 佛教（大乘佛教）,Kung Ye / 弓裔,Cheorwon / 铁原,Cheorwon / 铁原,KOR,East Asia / 东亚,17,40,0.9,,D,D,D,D,C,C,D,C,D,,28
Qi / 岐,901,924,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Li Maozhen / 李茂贞,Fengxiang / 凤翔,Fengxiang / 凤翔,CHN,East Asia / 东亚,23,90,0.8,,D,D,D,C,C,D,D,D,C,,27
Wu / 吴（十国）,902,937,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Yang Xingmi / 杨行密,Guangling / 广陵,Yangzhou / 扬州,CHN,East Asia / 东亚,35,350,2.5,,D,C,D,B,C,B,C,B,B,,46
Dachanghe / 大长和,902,928,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Zheng Maisi / 郑买嗣,Yangjumie / 羊苴咩,Dali / 大理,CHN,East Asia / 东亚,26,670,2,,D,C,D,C,C,D,D,C,C,,31
Wuyue / 吴越（十国）,907,978,Han / 汉,Wu Chinese / 吴语,Mahayana Buddhism / 佛教（大乘佛教）,Qian Liu / 钱镠,Hangzhou / 杭州,Hangzhou / 杭州,CHN,East Asia / 东亚,71,120,4,,C,C,C,A,C,B,C,A,A,,55
Former Shu / 前蜀（十国）,907,925,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Wang Jian / 王建,Chengdu / 成都,Chengdu / 成都,CHN,East Asia / 东亚,18,500,3,,D,C,C,B,C,B,C,B,B,,48
Later Liang / 后梁,907,923,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Zhu Wen / 朱温,Kaifeng / 开封,Kaifeng / 开封,CHN,East Asia / 东亚,16,900,10,,D,C,B,C,C,C,D,C,C,,38
Chu / 楚（十国）,907,951,Han / 汉,Xiang Chinese / 湘语,Mahayana Buddhism / 佛教（大乘佛教）,Ma Yin / 马殷,Changsha / 长沙,Changsha / 长沙,CHN,East Asia / 东亚,44,350,2,,D,C,D,C,C,C,D,B,B,,37
Kingdom of Vaspurakan / 瓦斯普拉干王国,908,1021,Armenian / 亚美尼亚,Classical Armenian / 古典亚美尼亚语,Oriental Orthodoxy / 基督教（东方正统教会）,Gagik I Artsruni / 加吉克一世,Van / 凡城,Van / 凡城,TUR,West Asia / 西亚,113,20,0.2,,B,D,D,C,C,B,C,C,C,,40
Fatimid Caliphate / 法蒂玛王朝,909,1171,Arab / 阿拉伯,Classical Arabic / 古典阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Abd Allah al-Mahdi Billah / 阿卜杜拉·马赫迪,Cairo / 开罗,Cairo / 开罗,EGY,North Africa / 北非,262,4100,7,,A,A,C,A,B,A,B,A,B,,69
Min / 闽（十国）,909,945,Han / 汉,Min Chinese / 闽语,Mahayana Buddhism / 佛教（大乘佛教）,Wang Shenzhi / 王审知,Fuzhou / 福州,Fuzhou / 福州,CHN,East Asia / 东亚,36,124,1,,D,C,D,C,C,C,C,C,C,,37
Kingdom of León / 莱昂王国,910,1230,Hispano-Roman / 希斯帕诺-罗马,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,García I / 加西亚一世,León / 莱昂,León / 莱昂,ESP,South Europe / 南欧,320,60,0.6,,A,D,D,C,C,B,C,B,C,,43
Zhao (Chengde) / 赵（成德军）,910,921,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Wang Rong / 王镕,Zhenzhou / 镇州,Zhengding / 正定,CHN,East Asia / 东亚,11,80,4,,D,D,C,C,C,D,D,C,C,,31
Principality of Zachlumia / 扎库卢米亚公国,910,1054,Zachlumian / 扎库卢米亚,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Michael / 米哈伊洛·维舍维奇,Ston / 斯通,Ston / 斯通,HRV,South Europe / 南欧,144,10,0.05,,B,D,D,D,D,D,D,D,D,,22
Yan (Lulong) / 燕（卢龙军）,911,914,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Liu Rengong / 刘仁恭,Youzhou / 幽州,Beijing / 北京,CHN,East Asia / 东亚,3,50,0.6,,D,D,D,C,C,D,D,D,C,,27
Bali Kingdom / 巴厘王国,914,1343,Balinese / 巴厘,Old Balinese / 古巴厘语,Hinduism / 印度教,Śrī Kesarī Varmadeva / 斯里·凯萨里·瓦尔马德瓦,Bedulu / 贝杜鲁,Gianyar / 吉安雅,IDN,Southeast Asia / 东南亚,429,5.6,0.3,,A,D,D,C,C,B,C,C,C,,41
Liao / 辽,916,1125,Khitan / 契丹,Khitan / 契丹语,Mahayana Buddhism / 佛教（大乘佛教）,Yelü Abaoji / 耶律阿保机,Shangjing / 上京,Bairin Left Banner / 巴林左旗,CHN,East Asia / 东亚,209,4890,9,,A,A,C,B,B,B,C,A,B,,60
Southern Han / 南汉（十国）,917,971,Han / 汉,Cantonese / 粤语,Mahayana Buddhism / 佛教（大乘佛教）,Liu Yan / 刘䶮,Panyu / 番禺,Guangzhou / 广州,CHN,East Asia / 东亚,54,400,3,,C,C,C,B,C,C,C,C,C,,43
Goryeo / 高丽,918,1392,Korean / 朝鲜,Middle Korean / 中世朝鲜语,Mahayana Buddhism / 佛教（大乘佛教）,Wang Kŏn / 王建,Gaegyeong / 开京,Kaesong / 开城,PRK,East Asia / 东亚,474,221,5.5,,A,C,C,B,B,B,B,B,B,,57
Sallarid Dynasty / 萨拉里王朝,919,1062,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad bin Musafir / 穆罕默德·本·穆萨菲尔,Tarom / 塔罗姆,Ab Bar / 阿巴尔,IRN,West Asia / 西亚,143,300,2,,B,C,D,C,C,C,C,C,C,,39
Deheubarth / 德赫巴思,920,1197,Welsh / 威尔士,Old Welsh / 古威尔士语,Catholicism / 基督教（天主教）,Hywel Dda / 好人海威尔,Dinefwr Castle / 迪内弗尔城堡,Llandeilo / 兰代洛,GBR,West Europe / 西欧,277,7,0.06,,A,D,D,C,C,B,D,C,C,,38
Later Tang / 后唐,923,937,Shatuo Turk / 沙陀（突厥）,Middle Chinese / 中古汉语,Confucianism / 儒家,Li Cunxu / 李存勖,Luoyang / 洛阳,Luoyang / 洛阳,CHN,East Asia / 东亚,14,2250,15,,D,B,B,C,B,C,D,B,C,,45
Jingnan / 荆南（十国）,924,963,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Gao Jixing / 高季兴,Jingzhou / 荆州,Jingzhou / 荆州,CHN,East Asia / 东亚,39,50,0.4,,D,D,D,C,D,C,D,C,C,,29
Kingdom of Croatia / 克罗地亚王国,925,1102,Croat / 克罗地亚,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Tomislav / 托米斯拉夫,Knin / 克宁,Knin / 克宁,HRV,South Europe / 南欧,177,100,0.6,,B,C,D,C,C,B,C,B,C,,44
Kingdom of England (Wessex) / 英格兰王国（威塞克斯王朝）,927,1066,English / 英格兰,Old English / 古英语,Catholicism / 基督教（天主教）,Æthelstan / 埃塞尔斯坦,Winchester / 温切斯特,Winchester / 温切斯特,GBR,West Europe / 西欧,139,130,1.5,,B,C,D,B,B,B,C,B,C,,50
Caliphate of Córdoba / 科尔多瓦哈里发国,929,1031,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Abd al-Rahman III / 阿卜杜拉赫曼三世,Córdoba / 科尔多瓦,Córdoba / 科尔多瓦,ESP,South Europe / 南欧,102,600,6,,B,C,C,A,A,A,A,A,A,,71
Dayining / 大义宁,929,937,Bai / 白,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Yang Ganzhen / 杨干贞,Yangjumie / 羊苴咩,Dali / 大理,CHN,East Asia / 东亚,8,670,2,,D,C,D,C,C,D,D,D,D,,28
Icelandic Commonwealth / 冰岛联邦,930,1262,Norse / 诺斯,Old Norse / 古诺斯语,Catholicism / 基督教（天主教）,Úlfljótr / 乌尔夫廖特,Þingvellir / 辛格韦德利,Þingvellir / 辛格韦德利,ISL,North Europe / 北欧,332,103,0.07,,A,C,D,D,D,B,C,B,C,,39
Ziyarid Dynasty / 齐亚尔王朝,931,1090,Gilak / 吉兰,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Mardavij / 马尔达维季,Gorgan / 戈尔甘,Gorgan / 戈尔甘,IRN,West Asia / 西亚,159,350,2.5,,B,C,D,C,C,B,C,C,C,,42
Banu Ilyas / 伊利亚斯王朝,932,968,Sogdian / 粟特,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad ibn Ilyas / 穆罕默德·伊本·伊利亚斯,Bardsir / 巴尔德西尔,Bardsir / 巴尔德西尔,IRN,West Asia / 西亚,36,180,0.9,,D,C,D,C,C,C,D,C,C,,34
Kingdom of Arles / 阿尔勒王国（勃艮地第二王国）,933,1032,Frank / 法兰克,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Rudolph II / 鲁道夫二世,Arles / 阿尔勒,Arles / 阿尔勒,FRA,West Europe / 西欧,99,170,1.5,,C,C,D,C,C,C,C,C,C,,38
Buyid Dynasty / 白益王朝,934,1062,Daylamite / 德莱木,Classical Arabic / 古典阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Imad al-Dawla / 伊马德·道莱,Shiraz / 设拉子,Shiraz / 设拉子,IRN,West Asia / 西亚,128,1800,15,,B,B,B,B,B,A,C,B,C,,59
Later Shu / 后蜀（十国）,934,965,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Meng Zhixiang / 孟知祥,Chengdu / 成都,Chengdu / 成都,CHN,East Asia / 东亚,31,450,4,,D,C,C,B,C,B,C,B,B,,48
Ikhshidid Dynasty / 伊赫什德王朝,935,969,Turkic / 突厥,Classical Arabic / 古典阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad ibn Tughj al-Ikhshid / 穆罕默德·伊赫什德,Fustat / 福斯塔特,Cairo / 开罗,EGY,North Africa / 北非,34,300,2.5,,D,C,D,C,C,C,C,C,C,,37
Kingdom of Denmark (Medieval) / 丹麦王国（中世纪）,936,1397,Dane / 丹麦,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Gorm the Old / 老戈姆,Roskilde / 罗斯基勒,Roskilde / 罗斯基勒,DNK,North Europe / 北欧,461,60,0.8,,A,D,D,C,B,B,C,C,C,,44
Later Jin / 后晋,936,947,Shatuo Turk / 沙陀（突厥）,Middle Chinese / 中古汉语,Confucianism / 儒家,Shi Jingtang / 石敬瑭,Kaifeng / 开封,Kaifeng / 开封,CHN,East Asia / 东亚,11,1150,11,,D,B,B,D,D,C,D,C,C,,34
Southern Tang / 南唐（十国）,937,975,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Li Bian / 李昪,Jinling / 金陵,Nanjing / 南京,CHN,East Asia / 东亚,38,766,5,,D,C,C,B,C,B,C,B,B,,48
Dali Kingdom / 大理,937,1254,Bai / 白,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Duan Siping / 段思平,Yangjumie / 羊苴咩,Dali / 大理,CHN,East Asia / 东亚,317,720,3,,A,C,C,C,C,B,C,B,B,,48
